Data Table Column Name,Variable Name,Full statement or question used for extraction,Data type,Standardized categorical responses,Preferred units,Missing data code
phys_response,Physical response,What physical variables did the authors identify as exhibiting a response to water level change?,Categorical,"water temperature;secchi/transparency;light (PAR, photic zone);turbidity;total suspended solids;total dissolved solids;other",NA,NA
chem_response,Chemical response,What chemical variables did the authors identify as exhibiting a response to water level change?,Categorical,pH;DO (dissolved oxygen);DOC (dissolved organic carbon);DIC (dissolved inorganic carbon);DOM (dissolved organic matter);POM (particulate organic matter);TP (total phosphorus);SRP (soluble reactive phosphorus);ORP (orthophosphate);TN (total nitrogen);TKN (total kjeldahl nitrogen);NO3 (nitrate);NO2 (nitrite);NH4/NH3+ (ammonia/ammonium);DIN (dissolved inorganic nitrogen);metals;conductivity;salinity;other,NA,NA
phys_drive,Physical drivers,What physical variables did the authors identify as driving phytoplankton/cyanobacteria/chlorophyll response?,Categorical,"water temperature;water level;secchi/transparency;light (PAR, photic zone);turbidity;total suspended solids;total dissolved solids;other",NA,NA
chem_drive,Chemical drivers,What chemical variables did the authors identify as driving phytoplankton/cyanobacteria/chlorophyll response?,Categorical,pH;DO (dissolved oxygen);DOC (dissolved organic carbon);DIC (dissolved inorganic carbon);DOM (dissolved organic matter);POM (particulate organic matter);TP (total phosphorus);SRP (soluble reactive phosphorus);ORP (orthophosphate);TN (total nitrogen);TKN (total kjeldahl nitrogen);NO3 (nitrate);NO2 (nitrite);NH4/NH3+ (ammonia/ammonium);DIN (dissolved inorganic nitrogen);metals;conductivity;salinity;other,NA,NA
decrease_phyto_response,Decrease phytoplankton response,What was the phytoplankton response to water level decreases or drought?,Categorical,Increase in phytoplankton;Decrease in phytoplankton;No significant response;Not measured;Other,NA,NA
decrease_cyano_response,Decrease cyanobacteria response,What was the cyanobacterial response to water level decreases or drought?,Categorical,Increase in cyanobacteria;Decrease in cyanobacteria;No significant response;Not measured;Other,NA,NA
decrease_toxin_response,Decrease toxin response,What was the toxicity response to water level decrease?,Categorical,Increase in cyanobacterial toxins;Decrease in cyanobacterial toxins;No significant response;Not measured;Other,NA,NA
decrease_phytocomm_response,Decrease phytoplankton community response,What was the phytoplankton community response to water level decrease?,Categorical,shift to cyanos; shift away from cyanos; shift in dominant phytoplankton group that is not cyanos; Not measured; Other,NA,NA
increase_phyto_response,Increase phytoplankton response,What was the phytoplankton response to water level increase?,Categorical,Increase in phytoplankton;Decrease in phytoplankton;No significant response;Not measured;Other,NA,NA
increase_cyano_response,Increase cyanobacteria response,What was the cyanobacteria response to water level increase,Categorical,Increase in cyanobacteria;Decrease in cyanobacteria;No significant response;Not measured;Other,NA,NA
